,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-11 01:00:00.000,ICPUSDT,249.28,2831.02,249.28,551.81,17652.07,2021-05-11 01:00:59.999,19560
1,2021-05-11 01:01:00.000,ICPUSDT,558.25,572.17,480.0,500.0,9549.35,2021-05-11 01:01:59.999,6789
2,2021-05-11 01:02:00.000,ICPUSDT,500.0,500.0,460.0,485.48,8081.54,2021-05-11 01:02:59.999,4064
3,2021-05-11 01:03:00.000,ICPUSDT,485.48,510.0,476.55,491.52,18662.44,2021-05-11 01:03:59.999,4050
4,2021-05-11 01:04:00.000,ICPUSDT,491.52,499.0,471.81,483.78,6218.05,2021-05-11 01:04:59.999,3103
5,2021-05-11 01:05:00.000,ICPUSDT,483.5,496.41,477.61,484.44,3601.39,2021-05-11 01:05:59.999,2204
6,2021-05-11 01:06:00.000,ICPUSDT,483.29,484.99,429.54,431.15,12865.28,2021-05-11 01:06:59.999,4670
7,2021-05-11 01:07:00.000,ICPUSDT,431.15,454.53,422.97,440.01,5638.69,2021-05-11 01:07:59.999,2938
8,2021-05-11 01:08:00.000,ICPUSDT,440.01,443.35,410.07,417.85,4348.09,2021-05-11 01:08:59.999,2342
9,2021-05-11 01:09:00.000,ICPUSDT,414.65,440.0,411.58,435.46,5253.01,2021-05-11 01:09:59.999,2505
10,2021-05-11 01:10:00.000,ICPUSDT,435.46,439.99,416.7,419.23,5560.51,2021-05-11 01:10:59.999,2167
11,2021-05-11 01:11:00.000,ICPUSDT,419.26,425.57,401.44,404.44,9298.88,2021-05-11 01:11:59.999,3152
12,2021-05-11 01:12:00.000,ICPUSDT,404.44,417.72,401.44,405.71,6316.39,2021-05-11 01:12:59.999,2876
13,2021-05-11 01:13:00.000,ICPUSDT,408.01,414.4,384.75,400.16,8961.9,2021-05-11 01:13:59.999,3685
14,2021-05-11 01:14:00.000,ICPUSDT,402.6,423.39,396.29,408.96,6341.89,2021-05-11 01:14:59.999,2466
15,2021-05-11 01:15:00.000,ICPUSDT,408.96,436.88,395.41,435.68,5541.52,2021-05-11 01:15:59.999,2313
16,2021-05-11 01:16:00.000,ICPUSDT,435.68,445.74,419.97,430.0,6640.14,2021-05-11 01:16:59.999,2728
17,2021-05-11 01:17:00.000,ICPUSDT,431.39,433.36,416.53,430.19,4779.9,2021-05-11 01:17:59.999,1810
18,2021-05-11 01:18:00.000,ICPUSDT,432.56,434.51,411.0,418.52,5530.45,2021-05-11 01:18:59.999,2333
19,2021-05-11 01:19:00.000,ICPUSDT,417.84,428.0,417.08,427.01,2548.99,2021-05-11 01:19:59.999,973
20,2021-05-11 01:20:00.000,ICPUSDT,426.98,434.55,417.77,423.9,2621.58,2021-05-11 01:20:59.999,1189
21,2021-05-11 01:21:00.000,ICPUSDT,423.9,426.18,419.5,419.63,2688.5,2021-05-11 01:21:59.999,942
22,2021-05-11 01:22:00.000,ICPUSDT,419.99,428.55,418.5,421.58,4054.95,2021-05-11 01:22:59.999,1179
23,2021-05-11 01:23:00.000,ICPUSDT,422.88,424.0,400.0,401.92,6690.39,2021-05-11 01:23:59.999,2152
24,2021-05-11 01:24:00.000,ICPUSDT,401.92,408.98,391.05,399.69,3839.6,2021-05-11 01:24:59.999,1815
25,2021-05-11 01:25:00.000,ICPUSDT,399.69,404.56,394.01,395.0,3924.66,2021-05-11 01:25:59.999,1465
26,2021-05-11 01:26:00.000,ICPUSDT,395.18,395.59,381.0,382.55,4680.34,2021-05-11 01:26:59.999,1564
27,2021-05-11 01:27:00.000,ICPUSDT,382.96,402.22,382.55,392.21,2668.42,2021-05-11 01:27:59.999,1077
28,2021-05-11 01:28:00.000,ICPUSDT,393.47,405.0,393.47,403.0,1111.86,2021-05-11 01:28:59.999,663
29,2021-05-11 01:29:00.000,ICPUSDT,403.7,408.0,392.58,394.88,3067.61,2021-05-11 01:29:59.999,1212
30,2021-05-11 01:30:00.000,ICPUSDT,394.86,396.03,379.77,385.83,5012.16,2021-05-11 01:30:59.999,1482
31,2021-05-11 01:31:00.000,ICPUSDT,385.82,388.0,378.57,381.64,3075.92,2021-05-11 01:31:59.999,1154
32,2021-05-11 01:32:00.000,ICPUSDT,382.59,388.08,378.33,384.39,4270.61,2021-05-11 01:32:59.999,1542
33,2021-05-11 01:33:00.000,ICPUSDT,383.63,384.28,365.0,375.44,4498.7,2021-05-11 01:33:59.999,1400
34,2021-05-11 01:34:00.000,ICPUSDT,374.79,378.42,361.0,361.44,3823.48,2021-05-11 01:34:59.999,1555
35,2021-05-11 01:35:00.000,ICPUSDT,364.63,374.98,358.0,374.21,3245.68,2021-05-11 01:35:59.999,1515
36,2021-05-11 01:36:00.000,ICPUSDT,374.17,377.0,367.0,370.31,2877.18,2021-05-11 01:36:59.999,1091
37,2021-05-11 01:37:00.000,ICPUSDT,370.31,392.68,370.19,383.83,4711.92,2021-05-11 01:37:59.999,1765
38,2021-05-11 01:38:00.000,ICPUSDT,383.81,383.81,365.46,375.16,4317.51,2021-05-11 01:38:59.999,1665
39,2021-05-11 01:39:00.000,ICPUSDT,375.57,380.0,366.02,370.17,3593.61,2021-05-11 01:39:59.999,1582
40,2021-05-11 01:40:00.000,ICPUSDT,370.07,380.0,366.02,378.96,1160.34,2021-05-11 01:40:59.999,595
41,2021-05-11 01:41:00.000,ICPUSDT,378.8,378.92,367.77,368.08,2237.24,2021-05-11 01:41:59.999,696
42,2021-05-11 01:42:00.000,ICPUSDT,368.85,375.0,365.0,372.0,884.3,2021-05-11 01:42:59.999,450
43,2021-05-11 01:43:00.000,ICPUSDT,372.23,375.0,365.0,366.74,3168.03,2021-05-11 01:43:59.999,1180
44,2021-05-11 01:44:00.000,ICPUSDT,366.72,370.0,355.0,358.97,3056.82,2021-05-11 01:44:59.999,970
45,2021-05-11 01:45:00.000,ICPUSDT,357.31,360.7,351.26,358.95,3463.75,2021-05-11 01:45:59.999,1329
46,2021-05-11 01:46:00.000,ICPUSDT,359.1,362.7,348.52,350.0,6496.57,2021-05-11 01:46:59.999,1256
47,2021-05-11 01:47:00.000,ICPUSDT,349.81,356.86,343.36,351.97,3832.45,2021-05-11 01:47:59.999,1423
48,2021-05-11 01:48:00.000,ICPUSDT,355.29,355.71,340.0,343.07,3727.17,2021-05-11 01:48:59.999,1347
49,2021-05-11 01:49:00.000,ICPUSDT,341.93,353.53,336.46,351.43,4686.44,2021-05-11 01:49:59.999,1448
50,2021-05-11 01:50:00.000,ICPUSDT,351.46,365.0,346.46,363.38,2895.47,2021-05-11 01:50:59.999,1092
51,2021-05-11 01:51:00.000,ICPUSDT,363.37,365.0,354.58,354.58,3694.63,2021-05-11 01:51:59.999,1112
52,2021-05-11 01:52:00.000,ICPUSDT,354.55,360.38,350.0,355.85,5084.25,2021-05-11 01:52:59.999,1573
53,2021-05-11 01:53:00.000,ICPUSDT,351.83,367.96,351.83,367.6,3391.78,2021-05-11 01:53:59.999,938
54,2021-05-11 01:54:00.000,ICPUSDT,366.67,384.16,366.56,384.15,5073.51,2021-05-11 01:54:59.999,1228
55,2021-05-11 01:55:00.000,ICPUSDT,381.75,384.0,373.94,376.86,2301.75,2021-05-11 01:55:59.999,1098
56,2021-05-11 01:56:00.000,ICPUSDT,376.0,380.0,363.89,368.46,3041.44,2021-05-11 01:56:59.999,916
57,2021-05-11 01:57:00.000,ICPUSDT,369.08,379.41,365.0,372.03,1798.71,2021-05-11 01:57:59.999,659
58,2021-05-11 01:58:00.000,ICPUSDT,371.92,384.16,371.91,382.27,1360.65,2021-05-11 01:58:59.999,587
59,2021-05-11 01:59:00.000,ICPUSDT,382.36,385.0,375.0,385.0,2849.88,2021-05-11 01:59:59.999,775
0,2021-05-11 02:00:00.000,ICPUSDT,384.84,389.16,377.67,381.98,2704.11,2021-05-11 02:00:59.999,1020
1,2021-05-11 02:01:00.000,ICPUSDT,381.13,381.53,366.12,368.29,2078.96,2021-05-11 02:01:59.999,1027
2,2021-05-11 02:02:00.000,ICPUSDT,368.29,375.0,363.69,365.39,1755.66,2021-05-11 02:02:59.999,782
3,2021-05-11 02:03:00.000,ICPUSDT,364.52,369.51,360.0,365.63,2016.4,2021-05-11 02:03:59.999,788
4,2021-05-11 02:04:00.000,ICPUSDT,363.19,366.87,358.0,361.16,1628.2,2021-05-11 02:04:59.999,621
5,2021-05-11 02:05:00.000,ICPUSDT,362.16,368.99,361.16,364.92,790.24,2021-05-11 02:05:59.999,460
6,2021-05-11 02:06:00.000,ICPUSDT,364.91,368.0,354.0,355.01,2322.21,2021-05-11 02:06:59.999,613
7,2021-05-11 02:07:00.000,ICPUSDT,355.01,363.5,354.56,363.47,780.12,2021-05-11 02:07:59.999,494
8,2021-05-11 02:08:00.000,ICPUSDT,363.47,363.47,356.57,356.57,556.35,2021-05-11 02:08:59.999,340
9,2021-05-11 02:09:00.000,ICPUSDT,357.0,360.8,355.4,356.0,702.71,2021-05-11 02:09:59.999,387
10,2021-05-11 02:10:00.000,ICPUSDT,355.41,365.06,355.4,360.16,673.76,2021-05-11 02:10:59.999,388
11,2021-05-11 02:11:00.000,ICPUSDT,360.28,365.98,357.75,365.08,1444.09,2021-05-11 02:11:59.999,399
12,2021-05-11 02:12:00.000,ICPUSDT,364.27,368.98,362.0,368.34,822.79,2021-05-11 02:12:59.999,505
13,2021-05-11 02:13:00.000,ICPUSDT,365.41,380.01,365.24,377.08,2966.72,2021-05-11 02:13:59.999,647
14,2021-05-11 02:14:00.000,ICPUSDT,377.43,380.32,376.0,376.0,2070.81,2021-05-11 02:14:59.999,746
15,2021-05-11 02:15:00.000,ICPUSDT,376.93,376.93,372.0,374.98,923.69,2021-05-11 02:15:59.999,531
16,2021-05-11 02:16:00.000,ICPUSDT,374.27,375.41,365.24,366.0,2272.41,2021-05-11 02:16:59.999,529
17,2021-05-11 02:17:00.000,ICPUSDT,366.0,376.93,365.41,375.93,539.66,2021-05-11 02:17:59.999,381
18,2021-05-11 02:18:00.000,ICPUSDT,375.98,385.0,375.9,385.0,1748.95,2021-05-11 02:18:59.999,556
19,2021-05-11 02:19:00.000,ICPUSDT,385.0,395.0,384.48,395.0,3094.03,2021-05-11 02:19:59.999,1200
20,2021-05-11 02:20:00.000,ICPUSDT,395.0,405.0,385.04,405.0,3930.0,2021-05-11 02:20:59.999,1207
21,2021-05-11 02:21:00.000,ICPUSDT,404.89,416.0,400.0,414.9,4333.57,2021-05-11 02:21:59.999,1569
22,2021-05-11 02:22:00.000,ICPUSDT,414.86,418.88,410.0,414.3,3124.22,2021-05-11 02:22:59.999,1360
23,2021-05-11 02:23:00.000,ICPUSDT,414.41,415.0,399.06,400.05,3398.93,2021-05-11 02:23:59.999,1506
24,2021-05-11 02:24:00.000,ICPUSDT,400.25,417.0,398.35,416.93,3538.96,2021-05-11 02:24:59.999,1067
25,2021-05-11 02:25:00.000,ICPUSDT,416.93,418.88,416.0,416.0,3106.2,2021-05-11 02:25:59.999,1095
26,2021-05-11 02:26:00.000,ICPUSDT,416.01,418.0,409.74,409.74,2017.4,2021-05-11 02:26:59.999,938
27,2021-05-11 02:27:00.000,ICPUSDT,409.58,409.98,401.59,404.53,2326.34,2021-05-11 02:27:59.999,822
28,2021-05-11 02:28:00.000,ICPUSDT,404.54,418.0,402.39,415.13,1871.59,2021-05-11 02:28:59.999,744
29,2021-05-11 02:29:00.000,ICPUSDT,415.13,430.0,415.13,429.99,4587.79,2021-05-11 02:29:59.999,1622
30,2021-05-11 02:30:00.000,ICPUSDT,429.96,442.0,428.16,439.83,3404.74,2021-05-11 02:30:59.999,1620
31,2021-05-11 02:31:00.000,ICPUSDT,439.25,443.46,422.24,425.42,4974.25,2021-05-11 02:31:59.999,1896
32,2021-05-11 02:32:00.000,ICPUSDT,425.0,432.95,424.38,431.72,2720.43,2021-05-11 02:32:59.999,1227
33,2021-05-11 02:33:00.000,ICPUSDT,431.72,440.0,429.05,432.12,2925.76,2021-05-11 02:33:59.999,821
34,2021-05-11 02:34:00.000,ICPUSDT,432.12,432.26,421.64,424.92,1737.81,2021-05-11 02:34:59.999,888
35,2021-05-11 02:35:00.000,ICPUSDT,424.89,430.0,420.01,420.22,1236.56,2021-05-11 02:35:59.999,845
36,2021-05-11 02:36:00.000,ICPUSDT,424.0,424.77,405.0,408.3,2477.27,2021-05-11 02:36:59.999,1305
37,2021-05-11 02:37:00.000,ICPUSDT,408.21,424.33,402.0,419.54,2098.57,2021-05-11 02:37:59.999,1053
38,2021-05-11 02:38:00.000,ICPUSDT,419.97,430.0,409.92,417.94,2275.09,2021-05-11 02:38:59.999,1400
39,2021-05-11 02:39:00.000,ICPUSDT,417.43,420.0,415.27,419.2,631.07,2021-05-11 02:39:59.999,446
40,2021-05-11 02:40:00.000,ICPUSDT,419.94,421.96,417.19,419.97,793.02,2021-05-11 02:40:59.999,423
41,2021-05-11 02:41:00.000,ICPUSDT,418.92,419.67,405.0,406.07,1586.22,2021-05-11 02:41:59.999,812
42,2021-05-11 02:42:00.000,ICPUSDT,406.98,419.39,406.38,411.28,551.6,2021-05-11 02:42:59.999,507
43,2021-05-11 02:43:00.000,ICPUSDT,412.0,413.99,410.0,412.32,534.55,2021-05-11 02:43:59.999,460
44,2021-05-11 02:44:00.000,ICPUSDT,412.32,420.0,410.61,418.3,674.58,2021-05-11 02:44:59.999,315
45,2021-05-11 02:45:00.000,ICPUSDT,415.92,429.14,415.33,426.77,2032.96,2021-05-11 02:45:59.999,900
46,2021-05-11 02:46:00.000,ICPUSDT,426.5,427.95,412.68,415.45,2476.53,2021-05-11 02:46:59.999,985
47,2021-05-11 02:47:00.000,ICPUSDT,416.77,420.54,412.0,416.68,719.55,2021-05-11 02:47:59.999,594
48,2021-05-11 02:48:00.000,ICPUSDT,415.31,420.0,410.0,418.25,1155.11,2021-05-11 02:48:59.999,605
49,2021-05-11 02:49:00.000,ICPUSDT,417.46,426.51,416.92,423.41,1716.52,2021-05-11 02:49:59.999,831
50,2021-05-11 02:50:00.000,ICPUSDT,422.02,424.0,417.0,419.75,705.17,2021-05-11 02:50:59.999,502
51,2021-05-11 02:51:00.000,ICPUSDT,419.71,423.2,417.94,420.61,1507.79,2021-05-11 02:51:59.999,397
52,2021-05-11 02:52:00.000,ICPUSDT,420.41,430.23,420.41,427.38,4009.03,2021-05-11 02:52:59.999,919
53,2021-05-11 02:53:00.000,ICPUSDT,427.17,439.52,426.81,437.52,2234.71,2021-05-11 02:53:59.999,1029
54,2021-05-11 02:54:00.000,ICPUSDT,437.5,447.4,431.83,435.11,5005.8,2021-05-11 02:54:59.999,1823
55,2021-05-11 02:55:00.000,ICPUSDT,436.82,446.92,435.0,444.01,2862.59,2021-05-11 02:55:59.999,912
56,2021-05-11 02:56:00.000,ICPUSDT,443.25,445.0,432.47,434.86,2183.79,2021-05-11 02:56:59.999,868
57,2021-05-11 02:57:00.000,ICPUSDT,434.81,442.0,434.81,436.93,2058.82,2021-05-11 02:57:59.999,693
58,2021-05-11 02:58:00.000,ICPUSDT,436.94,439.05,425.98,428.91,1627.98,2021-05-11 02:58:59.999,774
