,timestamp,tvlUSD,tvlETH,BTC,ETH,DAI
0,1624932000,52946887879,25129264.34073982,166147.7814785799,8666922.50984586,2727927236.2591853
1,1624924800,26116277621,12516247.85942614,104470.95386070001,4893113.8220069995,1744882802.5427556
2,1624838400,51091944217,25767313.33000474,164945.49766733008,8659626.48173986,2676831150.042262
3,1624752000,48423685604,26442823.850245185,165755.6629305301,8740186.818601858,2689429496.922792
4,1624665600,48417779142,26660010.98055196,163732.47428151002,8746787.763688207,2701425869.6320467
5,1624579200,51481055179,25850391.754456438,164570.77715034998,8682699.226580204,2692036553.404876
6,1624492800,50588701367,25641797.03330124,162681.34231014003,8509900.274007775,2663993589.133288
7,1624406400,48911275918,26035193.125951484,150849.36302132002,8494427.831142772,2510971536.9099855
8,1624320000,49792337356,26269124.46833766,153257.55564340003,8594570.700945776,2561255146.730863
9,1624233600,54966519666,24410469.88400184,145891.44165803,8656195.90248577,2630814969.250843
10,1624147200,56501762060,25923233.86156967,162798.90248989005,8681611.431716768,2842141394.412416
11,1624060800,57329055080,25635214.269744318,161325.89232600003,8701374.833946776,2928247478.643216
12,1623974400,60964107444,25670611.086127188,159198.01455406004,8658493.401650777,2916347407.156122
13,1623888000,61578130628,26002301.61051948,164457.94446184006,8726353.625400772,3128283744.997304
14,1623801600,65084506139,25563937.288242098,164635.10680340006,8802700.083244774,3102638104.1663327
15,1623715200,64780737490,25095001.003323764,164145.28529907996,8818945.379198773,2962479684.6253443
16,1623628800,63018421694,25102740.45538198,163139.43715771008,8873480.682261772,2965650281.304493
17,1623542400,59873263068,25244552.73913978,164311.48250557005,8879981.781434143,2914147277.070265
18,1623456000,59955457464,25475127.348745905,161963.07816328,8966945.98918514,2898356418.012392
19,1623369600,62032878878,25088421.71424874,162852.75381642996,8935917.80310814,2810526879.348775
20,1623283200,64387066634,24689996.48518686,161166.80407566988,9048789.39404314,2843078748.584488
21,1623196800,61732114233,24578506.48105016,163238.31824926005,8997099.814957144,2652526128.3710995
22,1623110400,62339807542,24017123.923964806,162875.93710321005,8920865.02404414,2632585860.047184
23,1623024000,64706399996,23838635.39926686,163886.82325229,8869541.138773143,2560732665.051642
24,1622937600,63188831375,24018591.61367325,162596.41117502007,8894865.922759142,2543694669.2235527
25,1622851200,64011266381,23792118.159483206,162154.29812135003,8829987.765237141,2528251001.8141265
26,1622764800,67264862044,23567471.127555054,161478.6477176101,8816486.31195714,2482176232.635832
27,1622678400,64477951131,23798661.331113826,162120.97609448998,8826856.749349143,2366951238.10551
28,1622592000,62423321830,23713643.862208348,163190.23039202002,8701160.759810142,2274146376.4411373
29,1622505600,63531941058,23445770.095285892,164277.34783174994,8712490.272925142,2281714853.784093
30,1622419200,58087866034,24322661.243101552,162330.06146376,8705057.668141138,2278738220.41696
31,1622332800,55123513033,24191197.033783015,161356.58464818998,8757066.753051138,2288794820.584773
32,1622246400,58276289678,24122278.797286287,164468.53434388997,8843680.773717137,2238086316.3888054
33,1622160000,62807877941,22931035.87125182,163937.93154785005,8776415.828479141,2216409003.577271
34,1622073600,63674457606,22236972.046307776,161443.91007304995,8749711.230230002,2195638434.174654
35,1621987200,59160701385,21874265.64753123,155150.62961867,8853215.988410003,2107295056.7414434
36,1621900800,58018510966,21923892.050212376,155698.91495270995,8896287.973534001,2049576013.8503695
37,1621814400,48961593637,23272046.712264962,156581.96678460002,8964356.254307,1866550689.8856025
38,1621728000,54649725557,23770154.955656376,160042.25014319,9268744.123852002,2105522473.7560782
39,1621641600,57054802801,23420261.9732937,161940.35612717996,9254685.262819001,2087999793.9362721
40,1621555200,63397961149,22816019.64580049,165044.2669485,9290786.316990152,2107310313.0475674
41,1621468800,58759020421,23909398.479392245,160219.33109264,9624576.401207032,2287965950.18192
42,1621382400,77810746667,23013033.002579,160745.22635826,9770867.291617246,2751737199.762807
43,1621296000,74964510168,22822817.232991245,167949.69722486992,9768631.768442677,2711255400.7534156
44,1621209600,78846872386,21987722.189656857,157140.92269823,9654461.833687164,2663210566.4140315
45,1621123200,79319420422,21762292.251722313,155144.26083201,9635187.164569685,2566871301.2827353
46,1621036800,86585072527,21219023.101599306,155006.72820650993,9685958.66714071,2557328417.6040483
47,1620950400,80019000588,21510368.381890416,152030.05414187,9744398.59331527,2491308471.786638
48,1620864000,80693065967,21195972.14788548,155203.38453352998,9725181.588802153,2703843121.359924
49,1620777600,88425706734,21161410.9729744,154046.08042336002,9804914.095681153,2758249624.3044777
50,1620691200,85114522195,21562282.37337171,153329.08606387998,9827255.134964153,2752233389.274724
51,1620604800,86590176666,22078066.462519128,151584.07957094006,9971571.049391152,2696936204.043568
52,1620518400,86064776255,22078307.779824335,149716.48265311992,9978453.413919155,2599070806.5872636
53,1620432000,81020197912,23262547.995612793,151195.87585740993,10156750.684854154,2629981808.0504017
54,1620345600,80403178730,23155063.30816328,151909.10031853997,10127014.835762152,2597837349.5593486
55,1620259200,79517325869,22549534.607837018,151842.61377381,10171322.046214152,2461998784.9055333
56,1620172800,74973328489,23098139.93487089,150906.20698780997,10249531.426136153,2365400934.535036
57,1620086400,78916191227,23014882.594811186,150436.24774009004,10268222.996813152,2344147746.7816052
58,1620000000,71604411022,24255168.648399632,142284.44209867995,10355860.777106157,2301743559.007423
59,1619913600,72031399409,24456554.014898412,141818.89013942,10422267.083985155,2237602335.7939396
60,1619827200,69463534114,25017840.10214078,140182.19600187996,10496715.433193156,2263309461.5164394
61,1619740800,69313879510,25121096.95599071,136464.11105327998,10409283.62750115,2225424709.496241
